epoch,train_loss,val_loss
1,0.1426851101470797,0.2628397451293084
2,0.04124974229195145,0.05833288510480235
3,0.028675485360488463,0.05335936214654676
4,0.02591260777932874,0.034741894251877264
5,0.024354703201169378,0.029919107294371052
6,0.02310675817928957,0.02612827207532621
7,0.023500011605995425,0.031110849351652207
8,0.022928106295091382,0.03199215858213363
9,0.023460596046420965,0.030532489080102213
10,0.02199145414856043,0.027889261202466105
11,0.020785443484783173,0.02226618671369168
12,0.02053474166085211,0.023273464532629136
13,0.020444288054543933,0.026042888421685464
14,0.020508297185382145,0.02085790795183951
15,0.019927294485354692,0.023075250127623157
16,0.020001903804165593,0.024450645992352117
17,0.019491923512535148,0.024779716146088416
18,0.0182710075646304,0.020761371500069094
19,0.018526630329616954,0.019189280848349293
20,0.018238925532008825,0.017702477593575756
21,0.018209864395890344,0.022081427396305146
22,0.017768855593847426,0.022058467651086468
23,0.01765974826608481,0.021699619149008104
24,0.017046426328715315,0.019511715539040103
25,0.016463356657644337,0.019172255130064104
26,0.018018638212861638,0.023837661971488306
27,0.01630351577330841,0.01626433257854754
28,0.01611816898783606,0.016251113385923447
29,0.015415197677826613,0.022467352329723297
30,0.015571877632415696,0.017823363504102154
