image_path,label,image_score,detector,category,predicted_label,predicted_class,true_class
data/mvtec_ad/capsule/test/crack/001.png,1,0.9749447107315063,hybrid,capsule,1,anomaly,anomaly
data/mvtec_ad/capsule/test/crack/004.png,1,0.950867235660553,hybrid,capsule,1,anomaly,anomaly
data/mvtec_ad/capsule/test/crack/015.png,1,0.947009801864624,hybrid,capsule,1,anomaly,anomaly
data/mvtec_ad/capsule/test/crack/017.png,1,0.9405460953712464,hybrid,capsule,1,anomaly,anomaly
data/mvtec_ad/capsule/test/crack/010.png,1,0.9188858270645142,hybrid,capsule,0,normal,anomaly
data/mvtec_ad/capsule/test/squeeze/015.png,1,0.911659836769104,hybrid,capsule,0,normal,anomaly
data/mvtec_ad/capsule/test/squeeze/000.png,1,0.8913899660110474,hybrid,capsule,0,normal,anomaly
data/mvtec_ad/capsule/test/poke/008.png,1,0.8886561989784241,hybrid,capsule,0,normal,anomaly
data/mvtec_ad/capsule/test/crack/011.png,1,0.8874179720878601,hybrid,capsule,0,normal,anomaly
data/mvtec_ad/capsule/test/crack/012.png,1,0.8760596513748169,hybrid,capsule,0,normal,anomaly
data/mvtec_ad/capsule/test/squeeze/011.png,1,0.8695476055145264,hybrid,capsule,0,normal,anomaly
data/mvtec_ad/capsule/test/squeeze/006.png,1,0.8609135150909424,hybrid,capsule,0,normal,anomaly
data/mvtec_ad/capsule/test/crack/014.png,1,0.8549891710281372,hybrid,capsule,0,normal,anomaly
data/mvtec_ad/capsule/test/poke/000.png,1,0.8504977226257324,hybrid,capsule,0,normal,anomaly
data/mvtec_ad/capsule/test/squeeze/017.png,1,0.8496161699295044,hybrid,capsule,0,normal,anomaly
data/mvtec_ad/capsule/test/squeeze/007.png,1,0.8443266749382019,hybrid,capsule,0,normal,anomaly
data/mvtec_ad/capsule/test/squeeze/003.png,1,0.8423958420753479,hybrid,capsule,0,normal,anomaly
data/mvtec_ad/capsule/test/poke/013.png,1,0.8398423194885254,hybrid,capsule,0,normal,anomaly
data/mvtec_ad/capsule/test/crack/018.png,1,0.8368392586708069,hybrid,capsule,0,normal,anomaly
data/mvtec_ad/capsule/test/crack/013.png,1,0.8296839594841003,hybrid,capsule,0,normal,anomaly
data/mvtec_ad/capsule/test/poke/014.png,1,0.8266385793685913,hybrid,capsule,0,normal,anomaly
data/mvtec_ad/capsule/test/squeeze/016.png,1,0.8219302296638489,hybrid,capsule,0,normal,anomaly
data/mvtec_ad/capsule/test/squeeze/001.png,1,0.82138592004776,hybrid,capsule,0,normal,anomaly
data/mvtec_ad/capsule/test/squeeze/009.png,1,0.8207029700279236,hybrid,capsule,0,normal,anomaly
data/mvtec_ad/capsule/test/squeeze/018.png,1,0.8153442144393921,hybrid,capsule,0,normal,anomaly
data/mvtec_ad/capsule/test/squeeze/008.png,1,0.8097281455993652,hybrid,capsule,0,normal,anomaly
data/mvtec_ad/capsule/test/scratch/008.png,1,0.8027628064155579,hybrid,capsule,0,normal,anomaly
data/mvtec_ad/capsule/test/squeeze/014.png,1,0.7995561361312866,hybrid,capsule,0,normal,anomaly
data/mvtec_ad/capsule/test/scratch/022.png,1,0.7971168756484985,hybrid,capsule,0,normal,anomaly
data/mvtec_ad/capsule/test/squeeze/019.png,1,0.7929081320762634,hybrid,capsule,0,normal,anomaly
data/mvtec_ad/capsule/test/scratch/016.png,1,0.7863209247589111,hybrid,capsule,0,normal,anomaly
data/mvtec_ad/capsule/test/squeeze/013.png,1,0.7759861946105957,hybrid,capsule,0,normal,anomaly
data/mvtec_ad/capsule/test/crack/007.png,1,0.7714421153068542,hybrid,capsule,0,normal,anomaly
data/mvtec_ad/capsule/test/squeeze/010.png,1,0.770930290222168,hybrid,capsule,0,normal,anomaly
data/mvtec_ad/capsule/test/scratch/015.png,1,0.7582184672355652,hybrid,capsule,0,normal,anomaly
