epoch,train_loss,val_loss
1,0.16879098726570277,0.14715878665447235
2,0.1089782049642742,0.14710229635238647
3,0.06414759311392822,0.09618349000811577
4,0.040037606384872734,0.049602286890149117
5,0.033830647907369046,0.038526227697730064
6,0.029904093037652707,0.03130149934440851
7,0.02896097928120945,0.02702697552740574
8,0.02566522938194196,0.025264441035687923
9,0.023857026602764154,0.023224548436701298
10,0.02244126654708583,0.02301223110407591
11,0.02189388360766416,0.02300992514938116
12,0.021544108331944402,0.02465604804456234
13,0.02227073046507427,0.025248438119888306
14,0.021409605459943002,0.022033821791410446
15,0.02057018455179686,0.020939956419169903
16,0.01914973724736364,0.019986217841506004
17,0.02113338412706694,0.01999603770673275
18,0.01929913744206916,0.02173571940511465
19,0.01766302872922539,0.018014246597886086
20,0.018288170558642288,0.018880100920796394
21,0.01854900860366571,0.01769801415503025
22,0.017069582482645524,0.018778729252517223
23,0.01739729852389894,0.016416586935520172
24,0.01671820332538028,0.017564475536346436
25,0.01782870914231348,0.01820313837379217
26,0.016783578094938842,0.017615589313209057
27,0.016607845304996927,0.0156639008782804
28,0.01607455466539491,0.016476253047585487
29,0.016229100875268326,0.016054154373705387
30,0.015632288355524368,0.017929029650986195
