sample_index,image_path,defect_type,label,image_score,feature_score,ae_score,image_h,image_w,mask_positive_pixels,feature_weight,ae_weight
55,data/mvtec_ad/metal_nut/test/flip/008.png,flip,1,0.9831131100654602,0.8487622737884521,0.02073831856250763,700,700,234449,0.5,0.5
47,data/mvtec_ad/metal_nut/test/flip/000.png,flip,1,0.9820514917373657,0.8836857676506042,0.022548232227563858,700,700,237351,0.5,0.5
51,data/mvtec_ad/metal_nut/test/flip/004.png,flip,1,0.9785500764846802,0.9071984887123108,0.022508304566144943,700,700,234904,0.5,0.5
48,data/mvtec_ad/metal_nut/test/flip/001.png,flip,1,0.9775998592376709,0.8987334370613098,0.02254658192396164,700,700,238718,0.5,0.5
18,data/mvtec_ad/metal_nut/test/bent/018.png,bent,1,0.9750653505325317,0.8593938946723938,0.02055133879184723,700,700,11889,0.5,0.5
67,data/mvtec_ad/metal_nut/test/flip/020.png,flip,1,0.9681202173233032,0.9097625017166138,0.01935015432536602,700,700,236216,0.5,0.5
20,data/mvtec_ad/metal_nut/test/bent/020.png,bent,1,0.9655605554580688,0.8894343376159668,0.018731366842985153,700,700,9625,0.5,0.5
56,data/mvtec_ad/metal_nut/test/flip/009.png,flip,1,0.9643415808677673,0.8665879964828491,0.021945882588624954,700,700,236366,0.5,0.5
53,data/mvtec_ad/metal_nut/test/flip/006.png,flip,1,0.9639884829521179,0.9151232242584229,0.02073553204536438,700,700,235543,0.5,0.5
5,data/mvtec_ad/metal_nut/test/bent/005.png,bent,1,0.960228681564331,0.9111794829368591,0.02233465388417244,700,700,10851,0.5,0.5
11,data/mvtec_ad/metal_nut/test/bent/011.png,bent,1,0.9499993324279785,0.8962510228157043,0.02025052346289158,700,700,7137,0.5,0.5
16,data/mvtec_ad/metal_nut/test/bent/016.png,bent,1,0.9496989250183105,0.886412501335144,0.020398195832967758,700,700,8326,0.5,0.5
3,data/mvtec_ad/metal_nut/test/bent/003.png,bent,1,0.9483877420425415,0.905189573764801,0.02131074108183384,700,700,9132,0.5,0.5
61,data/mvtec_ad/metal_nut/test/flip/014.png,flip,1,0.9458847641944885,0.8973604440689087,0.022377116605639458,700,700,234692,0.5,0.5
80,data/mvtec_ad/metal_nut/test/good/010.png,good,0,0.945157527923584,0.66289222240448,0.022814173251390457,700,700,0,0.5,0.5
31,data/mvtec_ad/metal_nut/test/color/006.png,color,1,0.9383678436279297,0.8757033944129944,0.021103303879499435,700,700,3820,0.5,0.5
54,data/mvtec_ad/metal_nut/test/flip/007.png,flip,1,0.9382710456848145,0.8990731835365295,0.022267747670412064,700,700,237959,0.5,0.5
0,data/mvtec_ad/metal_nut/test/bent/000.png,bent,1,0.9368534088134766,0.8944582343101501,0.021606577560305595,700,700,23025,0.5,0.5
50,data/mvtec_ad/metal_nut/test/flip/003.png,flip,1,0.9344121813774109,0.9170107245445251,0.021142423152923584,700,700,238487,0.5,0.5
10,data/mvtec_ad/metal_nut/test/bent/010.png,bent,1,0.934011697769165,0.8976844549179077,0.019483458250761032,700,700,14140,0.5,0.5
59,data/mvtec_ad/metal_nut/test/flip/012.png,flip,1,0.9322831630706787,0.8796605467796326,0.020853720605373383,700,700,234723,0.5,0.5
28,data/mvtec_ad/metal_nut/test/color/003.png,color,1,0.930617094039917,0.8564083576202393,0.019276831299066544,700,700,2367,0.5,0.5
68,data/mvtec_ad/metal_nut/test/flip/021.png,flip,1,0.9294077157974243,0.9118204116821289,0.019641362130641937,700,700,236046,0.5,0.5
89,data/mvtec_ad/metal_nut/test/good/019.png,good,0,0.9270914793014526,0.6419549584388733,0.01858448050916195,700,700,0,0.5,0.5
32,data/mvtec_ad/metal_nut/test/color/007.png,color,1,0.9265941381454468,0.894917905330658,0.021294955164194107,700,700,6865,0.5,0.5
52,data/mvtec_ad/metal_nut/test/flip/005.png,flip,1,0.9228639006614685,0.8944434523582458,0.02088027447462082,700,700,235361,0.5,0.5
99,data/mvtec_ad/metal_nut/test/scratch/007.png,scratch,1,0.9143791794776917,0.8602800965309143,0.02186093106865883,700,700,27302,0.5,0.5
26,data/mvtec_ad/metal_nut/test/color/001.png,color,1,0.908920407295227,0.8536186218261719,0.020271506160497665,700,700,2771,0.5,0.5
77,data/mvtec_ad/metal_nut/test/good/007.png,good,0,0.9037163853645325,0.6855303645133972,0.022758247330784798,700,700,0,0.5,0.5
84,data/mvtec_ad/metal_nut/test/good/014.png,good,0,0.8985612392425537,0.6566016674041748,0.02256835252046585,700,700,0,0.5,0.5
96,data/mvtec_ad/metal_nut/test/scratch/004.png,scratch,1,0.8973194360733032,0.8598774075508118,0.019238784909248352,700,700,20249,0.5,0.5
64,data/mvtec_ad/metal_nut/test/flip/017.png,flip,1,0.8967314958572388,0.8651626706123352,0.018304359167814255,700,700,238751,0.5,0.5
