epoch,train_loss,val_loss
1,0.13813904220218298,0.16480271698850574
2,0.036138338547560475,0.051360755933053566
3,0.029257399140186206,0.03278615969148549
4,0.024971987050707623,0.0272878087831266
5,0.02122150503739875,0.026266245848753235
6,0.019404005099047897,0.021975084913499428
7,0.018895372407891416,0.023333031006834724
8,0.01703601715064818,0.017794360886469032
9,0.015784897991726474,0.01842950837630214
10,0.015532588926694726,0.0192188856502374
11,0.019456526084292318,0.021817441578164246
12,0.014681671836203145,0.020893885556495552
13,0.01601333793012365,0.02058741439020995
14,0.014332525351996063,0.017948519325617588
15,0.015804974772837214,0.014904549853368238
16,0.015260229127541665,0.016440373704288944
17,0.015146961045120992,0.020992009646513245
18,0.015490574221457205,0.023561565826336544
19,0.0159341230467763,0.020946060730652374
20,0.01361309893188938,0.021397823072744137
21,0.014932334232794981,0.015213310210542246
22,0.012356818753785343,0.013089689115683237
23,0.0116659667423015,0.01262421900350036
24,0.013539906961703173,0.01685094776930231
25,0.013578331458472436,0.01556333704766902
26,0.012965053700471437,0.01897585883059285
27,0.015067987875031528,0.015139794880242058
28,0.013381353269020716,0.01950515659921097
29,0.01287897221583833,0.013208218539754549
30,0.013308850076970875,0.014486911678404518
