epoch,train_loss,val_loss
1,0.08056023782666992,0.11248364796241124
2,0.02883174127953894,0.0454095130165418
3,0.023646448793656686,0.02357487566769123
4,0.023872529978261274,0.030085495362679165
5,0.02320148631492082,0.028997076054414112
6,0.018998567014932632,0.017601327349742252
7,0.021711834761149743,0.032639910777409874
8,0.018582467756727162,0.026256675521532696
9,0.01748412206549855,0.016308908661206562
10,0.019044923431733075,0.02651542176802953
11,0.017633260720792937,0.021008872116605442
12,0.020506449317669168,0.03562412659327189
13,0.01935583944706356,0.01585856017967065
14,0.01678036471061847,0.019626826668779056
15,0.017695296172271755,0.025039166832963627
16,0.015838319326148313,0.015303422076006731
17,0.01682223642573637,0.023415544380744297
18,0.016530629740480113,0.01603322538236777
19,0.015562232748112258,0.018204104776183765
20,0.016303458908463225,0.01990392990410328
21,0.018727451836799875,0.014171157653133074
22,0.01521757069756003,0.02741744431356589
23,0.01621169361340649,0.012407658932109674
24,0.016210548963178608,0.01517621303598086
25,0.016841902561924037,0.014952189599474272
26,0.01726709273369873,0.01828877441585064
27,0.01681372249389396,0.01441185207416614
28,0.017190185923348453,0.025658945242563885
29,0.014464063898605458,0.017256340632836025
30,0.014447494136059986,0.014083568938076496
